idx,fold,true,pred,prob_true,top1,top3,top5,top5_with_delta
8,0,alginate,alginate,0.7984926973163536,binding,binding;1;PL,binding;1;PL;PL5;2.A.50,binding:+0.1143;1:+0.0882;PL:+0.0789;PL5:+0.0666;2.A.50:+0.0568
10,0,alginate,alginate,0.4901960784313725,PL17,PL17;PL6;binding,PL17;PL6;binding;PL;2,PL17:+0.0985;PL6:+0.0685;binding:+0.0518;PL:+0.0478;2:+0.0246
11,0,alginate,alginate,1.0,PL17,PL17;PL;PL6,PL17;PL;PL6;1;1.B.14,PL17:+0.1459;PL:+0.1404;PL6:+0.0832;1:+0.0755;1.B.14:+0.0391
12,0,alginate,alginate,1.0,PL17,PL17;PL;PL6,PL17;PL;PL6;1;1.B.14,PL17:+0.1571;PL:+0.1370;PL6:+0.0932;1:+0.0739;1.B.14:+0.0391
19,0,alginate,alginate,1.0,PL,PL;1;PL6,PL;1;PL6;PL7;5,PL:+0.1840;1:+0.1639;PL6:+0.1522;PL7:+0.1260;5:+0.0973
24,0,alginate,alginate,1.0,PL,PL;GntR;PL6,PL;GntR;PL6;PL17;2.A.1,PL:+0.0820;GntR:+0.0725;PL6:+0.0636;PL17:+0.0607;2.A.1:+0.0496
27,0,alginate,alginate,0.5219090821349289,PL5,PL5;1;PL,PL5;1;PL;null,PL5:+0.2385;1:+0.1177;PL:+0.0908;null:+0.0096
30,0,alginate,alginate,1.0,PL17,PL17;PL;PL6,PL17;PL;PL6;1;2,PL17:+0.1468;PL:+0.1253;PL6:+0.0943;1:+0.0709;2:+0.0639
33,0,alginate,alginate,0.9960159362549801,PL17,PL17;PL;PL6,PL17;PL;PL6;1;PfkB,PL17:+0.1579;PL:+0.1271;PL6:+0.0927;1:+0.0855;PfkB:+0.0644
43,0,alginate,alginate,0.695820013269799,PL6,PL6;1;PL,PL6;1;PL;1.B.14;null,PL6:+0.2985;1:+0.1507;PL:+0.1437;1.B.14:+0.0648;null:+0.0475
58,0,alpha-glucan,alpha-glucan,1.0,LacI,LacI;GH32;GH,LacI;GH32;GH;2.A.1,LacI:+1.0000;GH32:+0.2191;GH:+0.0709;2.A.1:+0.0537
60,0,alpha-glucan,alpha-glucan,1.0,LacI,LacI;GH13;redox,LacI;GH13;redox;Pyr;2.A.21,LacI:+0.1569;GH13:+0.1476;redox:+0.1091;Pyr:+0.0984;2.A.21:+0.0914
62,0,alpha-glucan,alpha-glucan,1.0,LacI,LacI;GH13;30,LacI;GH13;30;GH;3.A.1,LacI:+0.3111;GH13:+0.3090;30:+0.1961;GH:+0.0477;3.A.1:+0.0244
64,0,alpha-glucan,beta-glucan,0.39326596716323176,GH13,GH13;LacI;GH,GH13;LacI;GH,GH13:+0.2673;LacI:+0.0544;GH:+0.0253
67,0,alpha-glucan,alpha-glucan,1.0,GH13,GH13;20;3.A.1,GH13;20;3.A.1;GH;CBM34,GH13:+0.2118;20:+0.1411;3.A.1:+0.0670;GH:+0.0399;CBM34:+0.0300
69,0,alpha-glucan,alpha-glucan,0.7565852296933994,GH97,GH97;1.B.14;GH,GH97;1.B.14;GH;null;8.A.9,GH97:+0.4483;1.B.14:+0.0620;GH:+0.0582;null:+0.0384;8.A.9:+0.0311
70,0,alpha-glucan,alpha-glucan,1.0,GH13,GH13;20;CBM34,GH13;20;CBM34;3.A.1;GH,GH13:+0.2484;20:+0.1619;CBM34:+0.0766;3.A.1:+0.0736;GH:+0.0443
71,0,alpha-glucan,alpha-glucan,0.8552082190081264,GH13,GH13;GT5;GT35,GH13;GT5;GT35;CBM48;GT,GH13:+0.1084;GT5:+0.1052;GT35:+0.0720;CBM48:+0.0659;GT:+0.0519
83,0,alpha-glucan,alpha-glucan,1.0,GH13,GH13;18;GH,GH13;18;GH;null,GH13:+0.2316;18:+0.1130;GH:+0.0532;null:+0.0269
90,0,alpha-glucan,alpha-glucan,1.0,GH13,GH13;LacI;31,GH13;LacI;31;GH,GH13:+0.2165;LacI:+0.1813;31:+0.0805;GH:+0.0559
96,0,alpha-glucan,alpha-glucan,1.0,GH97,GH97;GH13;1.B.14,GH97;GH13;1.B.14;GH;8.A.46,GH97:+0.1783;GH13:+0.1027;1.B.14:+0.0680;GH:+0.0507;8.A.46:+0.0345
100,0,alpha-glucan,alpha-glucan,1.0,GH31,GH31;GH66;8.A.46,GH31;GH66;8.A.46;GH;null,GH31:+0.2899;GH66:+0.2412;8.A.46:+0.1380;GH:+0.1155;null:+0.0354
103,0,alpha-glucan,alpha-glucan,1.0,GH32,GH32;2.A.1;GH,GH32;2.A.1;GH,GH32:+0.5101;2.A.1:+0.2764;GH:+0.0893
109,0,alpha-glucan,alpha-glucan,1.0,GH32,GH32;SBP;bac,GH32;SBP;bac;1;GH,GH32:+0.4857;SBP:+0.2733;bac:+0.2410;1:+0.1250;GH:+0.0420
115,0,alpha-glucan,alpha-glucan,0.8707949064156453,GH13,GH13;GH97;LacI,GH13;GH97;LacI;1.B.14;GH,GH13:+0.1274;GH97:+0.1183;LacI:+0.0623;1.B.14:+0.0588;GH:+0.0510
118,0,alpha-glucan,alpha-glucan,1.0,GH97,GH97;GH13;GH,GH97;GH13;GH;1.B.14;null,GH97:+0.3108;GH13:+0.2426;GH:+0.0930;1.B.14:+0.0925;null:+0.0259
127,0,alpha-glucan,alpha-glucan,0.9260525470789338,LacI,LacI;GH77;GT35,LacI;GH77;GT35;GT;GH,LacI:+0.1958;GH77:+0.1185;GT35:+0.0848;GT:+0.0537;GH:+0.0444
128,0,alpha-glucan,alpha-glucan,0.9606299212598425,LacI,LacI;GH77;GT35,LacI;GH77;GT35;GT;GH,LacI:+0.2302;GH77:+0.2244;GT35:+0.1450;GT:+0.1254;GH:+0.0394
136,0,alpha-glucan,fructan,0.0,,,,
144,0,alpha-glucan,alpha-glucan,0.8038594382011023,GH13,GH13;LacI;GH,GH13;LacI;GH,GH13:+0.4756;LacI:+0.1521;GH:+0.0476
150,0,alpha-glucan,alpha-glucan,1.0,GH13,GH13;CBM34;20,GH13;CBM34;20;3.A.1;31,GH13:+0.1585;CBM34:+0.0964;20:+0.0953;3.A.1:+0.0916;31:+0.0849
152,0,alpha-glucan,alpha-glucan,0.8014395793854644,GH13,GH13;CBM34;CBM,GH13;CBM34;CBM;GH;39,GH13:+0.2299;CBM34:+0.0761;CBM:+0.0321;GH:+0.0246;39:+0.0146
160,0,alpha-glucan,alpha-glucan,0.8077138513243177,GH13,GH13;LacI;GH,GH13;LacI;GH;1.B.14;null,GH13:+0.2384;LacI:+0.1194;GH:+0.0996;1.B.14:+0.0853;null:+0.0560
167,0,alpha-glucan,fructan,0.0,,,,
170,0,alpha-glucan,alpha-glucan,1.0,GH13,GH13;GT5;GT,GH13;GT5;GT;9;CBM48,GH13:+0.0998;GT5:+0.0818;GT:+0.0495;9:+0.0475;CBM48:+0.0440
173,0,alpha-glucan,alpha-glucan,1.0,GH13,GH13;1;Pyr,GH13;1;Pyr;CBM;2,GH13:+0.1847;1:+0.0842;Pyr:+0.0838;CBM:+0.0731;2:+0.0706
177,0,alpha-mannan,alpha-mannan,0.9452159110014925,GH125,GH125;GntR;GH1,GH125;GntR;GH1;GH38;GH84,GH125:+0.2872;GntR:+0.2675;GH1:+0.2452;GH38:+0.2393;GH84:+0.2266
185,0,alpha-mannan,alpha-mannan,1.0,GH92,GH92;null;1.B.14,GH92;null;1.B.14;GH;GH99,GH92:+0.2598;null:+0.2486;1.B.14:+0.1756;GH:+0.1132;GH99:+0.1078
187,0,alpha-mannan,alpha-mannan,0.983640081799591,GH92,GH92;null;1.B.14,GH92;null;1.B.14;GH;9.B.14,GH92:+0.4092;null:+0.3188;1.B.14:+0.2366;GH:+0.1317;9.B.14:+0.0109
192,0,alpha-mannan,alpha-mannan,0.8870673952641165,LacI,LacI;GH92;GH125,LacI;GH92;GH125;GH2;GH,LacI:+0.2260;GH92:+0.1803;GH125:+0.1697;GH2:+0.1358;GH:+0.1305
201,0,arabinogalactan,fructan,0.17378585437443816,9.B.28,9.B.28;2.A.3;22,9.B.28;2.A.3;22;HTH;GH43,9.B.28:+0.0765;2.A.3:+0.0410;22:+0.0346;HTH:+0.0307;GH43:+0.0250
207,0,arabinogalactan,pectin,0.18013856812933024,29,29;1.B.14;GH,29;1.B.14;GH;GH43,29:+0.0629;1.B.14:+0.0400;GH:+0.0314;GH43:+0.0287
